product_name,category,price,discounted_price,rating,rating_count,review_title,reviewer_name,verified_purchase,review_date
OBD2 Scanner,Automotive,81.1,81.1,4,413,Love it!,Grace V.,Yes,2023-02-26
Coffee Maker Drip,Home & Kitchen,51.08,48.53,4,828,Love it!,Leo E.,Yes,2024-06-10
Data Science Handbook,Books,12.83,12.83,5,292,Exceeded expectations,Charlie D.,Yes,2022-05-28
Blender High Speed,Home & Kitchen,86.24,86.24,4,108,Worth every penny,Bob H.,Yes,2022-11-11
Jump Rope Speed,Sports,15.76,14.63,4,109,Highly recommend,Tina E.,Yes,2022-02-18
Resistance Bands Set,Sports,83.67,62.31,5,267,Highly recommend,Jack A.,Yes,2024-07-29
Bluetooth Speaker Mini,Electronics,184.85,134.35,3,54,Okay product,Karen W.,Yes,2023-11-11
Laptop Stand Adjustable,Electronics,105.25,93.36,5,23,Great product!,Diana J.,Yes,2022-03-19
Yoga Pants Flex,Clothing,47.74,47.74,2,87,Broke quickly,Olivia P.,Yes,2022-06-29
Winter Coat Warm,Clothing,11.82,9.48,5,67,Worth every penny,Alice K.,Yes,2022-05-31
Laptop Stand Adjustable,Electronics,149.6,149.6,5,70,Worth every penny,Grace X.,Yes,2022-04-22
Magnetic Tiles 60pc,Toys,88.2,73.46,3,53,Does the job,Rachel G.,Yes,2022-12-31
Sunscreen SPF50,Beauty,33.61,33.61,1,8,Not worth it,Grace R.,Yes,2023-05-31
Slim Fit Jeans,Clothing,57.18,57.18,5,3,Great product!,Quinn Y.,No,2022-05-25
Coffee Maker Drip,Home & Kitchen,33.91,33.91,5,879,Highly recommend,Iris R.,No,2023-04-12
Casual Hoodie,Clothing,46.71,46.71,5,111,Worth every penny,Paul T.,No,2023-06-14
Sunscreen SPF50,Beauty,16.55,15.42,5,97,Very satisfied,Eve W.,Yes,2024-04-14
Thinking Fast and Slow,Books,16.57,16.57,2,227,Poor quality,Alice M.,Yes,2024-03-05
Casual Hoodie,Clothing,29.2,26.08,4,49,Exceeded expectations,Steve V.,No,2024-07-12
Webcam 1080p HD,Electronics,30.11,30.11,3,598,Average quality,Quinn B.,Yes,2024-04-08
Deep Work,Books,22.69,19.57,5,308,Highly recommend,Iris F.,Yes,2024-06-05
Sports Socks Pack,Clothing,79.32,78.3,5,18,Exceeded expectations,Bob J.,Yes,2023-10-10
The Lean Startup,Books,17.6,16.28,4,108,Love it!,Grace Z.,Yes,2022-02-04
Sunscreen SPF50,Beauty,41.95,29.6,2,422,Would not recommend,Tina I.,No,2024-03-08
Slim Fit Jeans,Clothing,63.17,54.3,4,579,Best purchase ever,Bob O.,Yes,2022-08-31
Mechanical Keyboard RGB,Electronics,90.47,70.79,4,125,Worth every penny,Alice C.,Yes,2024-12-31
Car Air Freshener,Automotive,103.96,103.96,5,190,Worth every penny,Mia V.,Yes,2022-01-13
Deep Work,Books,29.37,27.95,5,36,Best purchase ever,Iris V.,Yes,2022-05-10
Laptop Stand Adjustable,Electronics,47.2,34.24,5,945,Highly recommend,Leo D.,Yes,2022-04-04
Mechanical Keyboard RGB,Electronics,172.38,137.24,4,52,Love it!,Alice J.,Yes,2022-05-29
Bluetooth Speaker Mini,Electronics,161.1,136.52,3,572,Decent product,Mia H.,Yes,2024-01-03
Water Filter Pitcher,Home & Kitchen,147.05,117.93,5,209,Very satisfied,Mia Q.,No,2024-10-26
Resistance Bands Set,Sports,108.22,108.22,5,187,Highly recommend,Diana K.,Yes,2022-08-06
Slim Fit Jeans,Clothing,27.07,27.07,5,143,Exceeded expectations,Paul T.,Yes,2023-08-17
Smart Watch X200,Electronics,179.69,146.38,5,52,Very satisfied,Rachel C.,Yes,2023-09-10
Slim Fit Jeans,Clothing,28.98,28.98,4,38,Love it!,Frank G.,Yes,2022-06-27
Car Air Freshener,Automotive,126.84,109.4,5,49,Amazing quality,Quinn O.,Yes,2023-07-31
Data Science Handbook,Books,37.77,37.77,4,41,Great product!,Rachel W.,Yes,2024-06-15
Tire Pressure Gauge,Automotive,121.88,121.88,1,302,Disappointed,Alice B.,Yes,2024-02-21
Hair Dryer Ionic,Beauty,56.57,42.22,3,86,Does the job,Hank Q.,Yes,2024-03-20
Wireless Earbuds Pro,Electronics,17.9,16.17,1,11,Would not recommend,Jack K.,No,2022-03-05
Blender High Speed,Home & Kitchen,97.3,97.3,5,695,Highly recommend,Paul M.,Yes,2024-08-28
Coffee Maker Drip,Home & Kitchen,126.72,95.6,4,430,Best purchase ever,Frank A.,Yes,2022-11-17
The Lean Startup,Books,18.57,14.66,5,525,Amazing quality,Leo V.,Yes,2024-12-28
Yoga Pants Flex,Clothing,27.32,27.32,5,1056,Very satisfied,Leo L.,Yes,2023-03-27
Toaster Oven Digital,Home & Kitchen,109.0,109.0,4,38,Amazing quality,Jack H.,Yes,2022-10-07
Wireless Earbuds Pro,Electronics,77.36,60.14,4,100,Very satisfied,Quinn I.,No,2024-03-11
Formal Shirt White,Clothing,20.79,20.16,5,283,Worth every penny,Bob U.,No,2023-08-28
Atomic Habits,Books,32.16,32.16,4,238,Best purchase ever,Iris M.,Yes,2022-10-23
Play-Doh Mega Set,Toys,70.13,70.13,2,33,Poor quality,Alice R.,No,2023-09-03
Vitamin C Serum,Beauty,8.44,6.51,4,338,Best purchase ever,Iris H.,Yes,2024-02-04
Casual Hoodie,Clothing,26.25,22.35,3,50,Good for the price,Eve K.,Yes,2022-01-23
Machine Learning Guide,Books,19.89,15.53,5,50,Highly recommend,Mia V.,Yes,2022-10-17
Power Bank 20000mAh,Electronics,192.14,192.14,5,153,Very satisfied,Eve C.,No,2022-09-10
Makeup Brush Set,Beauty,58.78,42.3,5,179,Love it!,Mia Q.,Yes,2022-03-27
Vitamin C Serum,Beauty,7.12,7.12,5,173,Exceeded expectations,Tina U.,Yes,2022-01-11
Yoga Pants Flex,Clothing,65.34,63.65,5,19,Great product!,Hank N.,Yes,2024-03-18
Blender High Speed,Home & Kitchen,84.27,84.27,3,419,As described,Hank S.,Yes,2022-06-24
Coffee Maker Drip,Home & Kitchen,92.38,80.91,5,61,Very satisfied,Eve N.,Yes,2023-09-17
Laptop Stand Adjustable,Electronics,95.88,95.88,5,27,Highly recommend,Jack T.,No,2023-03-07
Dumbbell Set Adjustable,Sports,74.11,66.36,5,439,Best purchase ever,Karen O.,Yes,2023-12-06
The Lean Startup,Books,11.73,11.73,5,623,Very satisfied,Rachel E.,Yes,2023-03-10
Yoga Mat Extra Thick,Sports,41.08,34.25,4,396,Highly recommend,Grace U.,No,2024-04-25
Atomic Habits,Books,30.82,26.2,3,331,Decent product,Eve S.,Yes,2024-11-15
Wireless Earbuds Pro,Electronics,65.06,48.32,4,212,Exceeded expectations,Rachel V.,No,2022-10-19
Running Jacket Lite,Clothing,60.81,45.64,4,160,Best purchase ever,Grace E.,Yes,2022-11-26
Laptop Stand Adjustable,Electronics,44.03,44.03,5,18,Best purchase ever,Jack W.,Yes,2023-01-12
Stuffed Animal Bear,Toys,35.33,34.92,5,105,Highly recommend,Quinn E.,Yes,2023-03-29
Eye Cream Anti-Age,Beauty,10.52,7.5,1,93,Not as advertised,Nick Y.,No,2023-06-02
Pull Up Bar Door,Sports,58.3,57.62,5,60,Exceeded expectations,Eve U.,Yes,2023-02-02
Cotton T-Shirt Classic,Clothing,17.16,15.37,4,257,Highly recommend,Steve F.,Yes,2022-08-23
Bluetooth Speaker Mini,Electronics,50.16,50.16,4,136,Love it!,Karen C.,Yes,2023-01-07
Hair Dryer Ionic,Beauty,36.62,36.62,3,16,Good for the price,Rachel R.,Yes,2022-04-22
Science Kit Kids,Toys,42.64,33.34,4,49,Love it!,Diana F.,Yes,2024-08-02
Smart Watch X200,Electronics,32.57,32.57,5,229,Worth every penny,Karen E.,Yes,2022-05-30
Machine Learning Guide,Books,11.97,11.97,4,15,Best purchase ever,Alice Y.,No,2023-08-19
Wireless Earbuds Pro,Electronics,160.61,122.68,5,381,Highly recommend,Karen N.,Yes,2022-05-18
Resistance Bands Set,Sports,9.87,7.74,5,136,Worth every penny,Nick J.,Yes,2023-05-29
Dumbbell Set Adjustable,Sports,51.43,51.43,4,131,Best purchase ever,Olivia X.,Yes,2022-07-21
Webcam 1080p HD,Electronics,150.09,108.21,5,179,Very satisfied,Iris E.,No,2023-02-09
The Lean Startup,Books,36.97,36.97,5,348,Amazing quality,Grace D.,Yes,2024-09-24
Thinking Fast and Slow,Books,26.3,24.96,4,85,Amazing quality,Eve F.,Yes,2023-11-09
Yoga Pants Flex,Clothing,57.97,57.95,4,226,Best purchase ever,Alice Y.,Yes,2024-01-02
Hair Dryer Ionic,Beauty,13.13,10.02,4,166,Love it!,Tina T.,Yes,2022-09-20
Yoga Pants Flex,Clothing,28.79,27.08,4,62,Very satisfied,Iris T.,Yes,2023-04-26
Laptop Stand Adjustable,Electronics,27.19,26.74,1,421,Not as advertised,Steve T.,Yes,2022-07-24
Deep Work,Books,17.32,17.21,5,319,Best purchase ever,Hank T.,Yes,2023-08-07
Coffee Maker Drip,Home & Kitchen,82.95,64.86,5,214,Very satisfied,Hank H.,Yes,2022-05-23
Wireless Earbuds Pro,Electronics,81.81,65.16,2,380,Broke quickly,Alice L.,Yes,2023-02-01
Running Jacket Lite,Clothing,60.95,60.95,4,403,Amazing quality,Charlie W.,Yes,2023-10-13
Jump Starter Portable,Automotive,110.95,88.6,5,246,Exceeded expectations,Paul E.,Yes,2024-09-22
Air Fryer 5L,Home & Kitchen,79.52,58.85,4,362,Very satisfied,Quinn T.,Yes,2024-07-11
Slim Fit Jeans,Clothing,31.82,28.09,3,239,Decent product,Paul W.,Yes,2023-11-04
Atomic Habits,Books,19.62,19.62,4,227,Highly recommend,Leo F.,Yes,2023-09-19
Power Bank 20000mAh,Electronics,85.77,85.77,5,192,Amazing quality,Mia P.,Yes,2022-11-09
Webcam 1080p HD,Electronics,96.93,96.93,4,279,Very satisfied,Paul E.,Yes,2024-01-17
Sports Socks Pack,Clothing,68.07,61.87,5,34,Very satisfied,Frank G.,Yes,2023-10-10
Thinking Fast and Slow,Books,39.18,32.04,5,425,Worth every penny,Hank B.,Yes,2024-05-27
Webcam 1080p HD,Electronics,71.57,71.57,4,410,Exceeded expectations,Nick Y.,Yes,2022-12-12
Laptop Stand Adjustable,Electronics,190.25,170.35,5,5,Great product!,Alice I.,Yes,2022-01-10
USB-C Hub 7-in-1,Electronics,103.62,100.28,4,349,Highly recommend,Nick H.,Yes,2023-10-04
Coffee Maker Drip,Home & Kitchen,145.88,121.6,5,27,Great product!,Grace Y.,Yes,2023-05-20
Mechanical Keyboard RGB,Electronics,69.91,69.91,5,81,Highly recommend,Grace C.,Yes,2023-03-30
Sunscreen SPF50,Beauty,40.8,33.17,5,272,Very satisfied,Frank O.,Yes,2024-06-12
Vitamin C Serum,Beauty,48.5,39.58,2,35,Not as advertised,Tina P.,Yes,2023-07-21
Laptop Stand Adjustable,Electronics,85.06,80.26,5,340,Great product!,Karen O.,No,2024-01-07
Power Bank 20000mAh,Electronics,83.52,61.59,4,356,Exceeded expectations,Hank N.,Yes,2022-10-03
Knife Set Premium,Home & Kitchen,46.96,46.96,3,141,Average quality,Mia Y.,Yes,2023-11-11
Wireless Earbuds Pro,Electronics,49.28,49.28,2,1,Broke quickly,Bob T.,Yes,2024-09-09
USB-C Hub 7-in-1,Electronics,20.97,20.97,5,67,Love it!,Mia X.,Yes,2024-08-05
Science Kit Kids,Toys,47.92,44.45,5,191,Exceeded expectations,Karen M.,Yes,2024-07-01
Python for Beginners,Books,15.2,13.87,1,794,Poor quality,Tina X.,Yes,2024-01-05
Python for Beginners,Books,34.6,34.6,5,199,Highly recommend,Steve T.,Yes,2023-09-18
Dumbbell Set Adjustable,Sports,100.21,88.94,4,60,Highly recommend,Rachel Q.,No,2024-09-24
Foam Roller Deep,Sports,83.37,63.89,5,201,Very satisfied,Bob Q.,Yes,2022-08-11
USB-C Hub 7-in-1,Electronics,132.17,130.87,3,155,Average quality,Diana O.,Yes,2022-12-26
Bluetooth Speaker Mini,Electronics,61.75,61.75,5,302,Worth every penny,Olivia B.,Yes,2022-06-17
Formal Shirt White,Clothing,60.56,55.18,4,22,Amazing quality,Hank Q.,Yes,2023-07-29
Formal Shirt White,Clothing,16.17,11.35,5,286,Very satisfied,Rachel M.,Yes,2022-10-14
Deep Work,Books,23.83,21.25,3,155,Average quality,Bob R.,Yes,2023-02-07
Coffee Maker Drip,Home & Kitchen,90.46,90.46,4,659,Amazing quality,Mia Q.,Yes,2023-06-24
Air Fryer 5L,Home & Kitchen,74.38,74.38,3,83,Okay product,Bob G.,Yes,2022-06-06
OBD2 Scanner,Automotive,144.91,108.85,5,200,Love it!,Jack O.,Yes,2022-06-04
Webcam 1080p HD,Electronics,145.79,145.79,5,537,Great product!,Mia J.,Yes,2022-02-08
Running Jacket Lite,Clothing,51.57,46.5,4,21,Great product!,Jack O.,Yes,2024-11-04
Running Jacket Lite,Clothing,17.66,13.29,5,553,Best purchase ever,Frank N.,No,2022-03-05
Sunscreen SPF50,Beauty,41.66,38.49,5,232,Highly recommend,Jack T.,No,2024-04-09
USB-C Hub 7-in-1,Electronics,46.76,46.76,5,14,Best purchase ever,Bob W.,Yes,2023-03-12
Mechanical Keyboard RGB,Electronics,24.18,23.13,5,71,Very satisfied,Quinn E.,Yes,2022-03-17
Slim Fit Jeans,Clothing,57.91,53.2,4,246,Love it!,Olivia U.,Yes,2023-06-18
Winter Coat Warm,Clothing,78.17,78.17,2,13,Would not recommend,Olivia C.,Yes,2024-08-24
Cotton T-Shirt Classic,Clothing,78.09,55.2,5,174,Very satisfied,Quinn D.,No,2022-11-01
Webcam 1080p HD,Electronics,34.6,31.25,5,84,Very satisfied,Frank Y.,Yes,2024-01-20
LEGO City Set,Toys,31.69,28.65,5,193,Great product!,Steve W.,Yes,2024-03-14
Sports Socks Pack,Clothing,63.27,44.33,4,9,Great product!,Rachel E.,Yes,2023-04-03
Vitamin C Serum,Beauty,37.92,34.2,4,410,Exceeded expectations,Mia N.,Yes,2023-08-19
Deep Work,Books,15.56,14.88,5,726,Amazing quality,Karen O.,Yes,2022-10-02
Webcam 1080p HD,Electronics,88.35,88.35,5,693,Exceeded expectations,Alice F.,No,2024-08-09
Car Air Freshener,Automotive,111.05,91.29,5,276,Very satisfied,Olivia S.,Yes,2024-10-23
Gym Gloves Grip,Sports,24.88,24.88,5,27,Best purchase ever,Grace O.,Yes,2024-11-11
Stuffed Animal Bear,Toys,49.11,41.68,5,283,Exceeded expectations,Charlie I.,No,2022-07-05
Remote Control Car,Toys,43.28,30.86,2,4,Poor quality,Karen W.,Yes,2024-03-23
Gym Gloves Grip,Sports,21.99,15.7,3,4,As described,Frank W.,Yes,2024-01-16
Wireless Earbuds Pro,Electronics,41.7,35.85,5,78,Best purchase ever,Diana C.,Yes,2024-10-25
Deep Work,Books,18.98,18.98,5,134,Very satisfied,Diana W.,Yes,2022-01-22
Bluetooth Speaker Mini,Electronics,111.9,111.9,1,294,Disappointed,Olivia U.,No,2023-05-05
Sports Socks Pack,Clothing,43.82,43.82,3,229,Okay product,Leo C.,Yes,2022-12-06
Mechanical Keyboard RGB,Electronics,149.06,140.46,5,118,Very satisfied,Quinn W.,No,2024-11-18
Slim Fit Jeans,Clothing,32.81,25.19,1,63,Not as advertised,Mia X.,Yes,2022-10-15
Car Air Freshener,Automotive,18.59,18.35,3,1170,Okay product,Quinn T.,No,2024-07-02
Slim Fit Jeans,Clothing,18.55,14.08,5,111,Very satisfied,Frank M.,Yes,2022-11-23
Dumbbell Set Adjustable,Sports,81.56,81.56,5,120,Very satisfied,Rachel M.,Yes,2023-01-02
The Lean Startup,Books,34.59,34.59,5,35,Exceeded expectations,Bob Y.,Yes,2022-10-27
Winter Coat Warm,Clothing,27.07,19.18,4,316,Great product!,Frank K.,No,2024-09-17
Remote Control Car,Toys,54.64,38.64,5,236,Best purchase ever,Steve V.,Yes,2024-01-05
Car Air Freshener,Automotive,105.66,103.6,4,49,Amazing quality,Eve F.,Yes,2022-03-24
Atomic Habits,Books,15.91,12.32,4,17,Very satisfied,Eve F.,Yes,2023-03-25
Blender High Speed,Home & Kitchen,101.87,100.61,5,228,Best purchase ever,Bob N.,Yes,2024-09-25
USB-C Hub 7-in-1,Electronics,133.98,126.81,5,212,Love it!,Jack J.,No,2023-04-20
Yoga Pants Flex,Clothing,38.68,29.82,5,63,Amazing quality,Olivia J.,Yes,2022-05-09
Puzzle 1000pc Nature,Toys,59.13,59.13,5,602,Love it!,Frank D.,Yes,2023-06-26
Data Science Handbook,Books,22.88,19.03,5,32,Great product!,Eve G.,Yes,2024-01-27
Data Science Handbook,Books,21.43,21.43,2,113,Disappointed,Alice T.,Yes,2023-04-25
Non-Stick Pan Set,Home & Kitchen,48.41,35.7,4,575,Great product!,Iris A.,Yes,2022-03-29
Mechanical Keyboard RGB,Electronics,154.18,150.33,4,108,Exceeded expectations,Olivia P.,Yes,2023-02-28
Deep Work,Books,27.47,27.47,4,203,Love it!,Paul R.,Yes,2024-11-26
Machine Learning Guide,Books,14.47,13.14,5,101,Love it!,Alice T.,Yes,2024-01-10
Makeup Brush Set,Beauty,15.84,11.38,4,64,Great product!,Paul H.,Yes,2024-03-05
Smart Watch X200,Electronics,64.03,45.87,5,826,Love it!,Grace S.,Yes,2024-08-19
Puzzle 1000pc Nature,Toys,53.21,44.14,5,105,Best purchase ever,Paul O.,Yes,2024-07-20
Laptop Stand Adjustable,Electronics,73.47,73.47,5,449,Highly recommend,Nick O.,Yes,2022-04-06
USB-C Hub 7-in-1,Electronics,129.08,129.08,5,52,Best purchase ever,Charlie T.,Yes,2022-03-23
Machine Learning Guide,Books,12.15,12.15,5,47,Love it!,Tina A.,No,2023-10-26
Instant Pot 6Qt,Home & Kitchen,130.91,107.41,4,6,Love it!,Hank R.,No,2022-07-31
Smart Watch X200,Electronics,47.91,39.45,3,210,Average quality,Iris T.,Yes,2024-12-03
Bluetooth Speaker Mini,Electronics,146.1,136.79,5,91,Love it!,Rachel G.,Yes,2023-07-15
Shampoo Argan Oil,Beauty,56.52,47.25,4,399,Great product!,Bob F.,No,2023-06-24
Power Bank 20000mAh,Electronics,30.68,25.42,1,128,Not as advertised,Eve B.,Yes,2022-12-23
Thinking Fast and Slow,Books,18.02,13.16,5,689,Worth every penny,Leo B.,Yes,2024-02-11
Blender High Speed,Home & Kitchen,59.7,53.89,3,41,Good for the price,Eve B.,Yes,2024-02-15
Yoga Pants Flex,Clothing,36.13,36.13,5,405,Worth every penny,Steve T.,Yes,2024-01-19
Machine Learning Guide,Books,24.84,21.77,5,299,Amazing quality,Jack K.,Yes,2022-06-09
Thinking Fast and Slow,Books,28.08,28.08,5,294,Highly recommend,Charlie B.,Yes,2024-11-24
Remote Control Car,Toys,40.7,40.7,4,372,Highly recommend,Diana N.,No,2023-05-31
Power Bank 20000mAh,Electronics,106.02,93.07,1,286,Poor quality,Frank F.,No,2024-02-10
Water Filter Pitcher,Home & Kitchen,111.14,107.95,5,196,Highly recommend,Jack T.,Yes,2023-04-02
Laptop Stand Adjustable,Electronics,187.18,187.18,4,28,Love it!,Tina S.,Yes,2024-11-23
Formal Shirt White,Clothing,49.33,39.79,5,6,Exceeded expectations,Rachel F.,Yes,2024-04-11
Air Fryer 5L,Home & Kitchen,57.55,51.0,5,507,Great product!,Olivia X.,Yes,2023-12-24
Yoga Pants Flex,Clothing,32.51,32.51,5,191,Love it!,Steve L.,Yes,2023-12-08
Slim Fit Jeans,Clothing,53.85,53.85,4,318,Great product!,Bob C.,Yes,2024-09-24
Foam Roller Deep,Sports,115.1,115.1,4,131,Very satisfied,Jack K.,No,2024-09-14
Power Bank 20000mAh,Electronics,40.75,40.75,5,24,Best purchase ever,Leo M.,Yes,2022-01-14
Thinking Fast and Slow,Books,39.83,34.01,4,26,Best purchase ever,Charlie Y.,Yes,2024-10-24
Car Phone Mount,Automotive,121.51,98.1,3,231,Does the job,Nick R.,No,2022-10-12
Car Phone Mount,Automotive,126.89,109.42,5,112,Great product!,Charlie J.,Yes,2024-06-19
Mechanical Keyboard RGB,Electronics,146.87,146.87,5,44,Very satisfied,Paul E.,Yes,2022-12-06
Laptop Stand Adjustable,Electronics,105.41,92.87,5,135,Great product!,Diana W.,Yes,2023-04-17
Slim Fit Jeans,Clothing,49.58,49.58,5,13,Love it!,Iris K.,Yes,2022-06-07
Remote Control Car,Toys,33.86,28.96,2,174,Would not recommend,Quinn N.,Yes,2024-11-19
Sunscreen SPF50,Beauty,17.86,13.28,5,62,Best purchase ever,Quinn G.,Yes,2023-07-30
Shampoo Argan Oil,Beauty,14.74,14.74,5,319,Love it!,Grace T.,Yes,2023-03-10
Cotton T-Shirt Classic,Clothing,50.09,43.47,3,74,Okay product,Bob D.,No,2022-11-04
Power Bank 20000mAh,Electronics,116.7,116.7,5,121,Highly recommend,Steve X.,Yes,2023-01-18
Dumbbell Set Adjustable,Sports,72.63,72.63,5,2,Very satisfied,Quinn C.,Yes,2022-11-19
Blender High Speed,Home & Kitchen,121.25,108.18,5,15,Highly recommend,Paul X.,Yes,2024-01-12
Water Filter Pitcher,Home & Kitchen,90.47,90.47,5,99,Worth every penny,Tina Z.,Yes,2022-08-31
Jump Starter Portable,Automotive,139.69,139.69,5,130,Love it!,Jack N.,Yes,2023-04-17
Air Fryer 5L,Home & Kitchen,91.52,91.52,4,183,Very satisfied,Tina K.,Yes,2024-04-29
